concept_id,rus,ukr
131,nɐraˑ,lʲiɦwɔ
132,ʒɨvɔˑtnəjə,twɑrɪnɑ
133,staˑdə,stɑdɔ
134,kɐrɔˑvə,kɔrɔwɑ
135,bɨˑk,bɪk
135,bɨˑk,buɦɑj
136,ɫɔˑʃətʲ,kinʲ
137,ɐvt͡saˑ,viwt͡sʲɑ
138,svʲinʲaˑ,swɪnʲɑ
139,sɐbaˑkə,sɔbɑkɑ
140,kɔˑʃkə,kiʂkɑ
141,mʲɪdvʲeˑtʲ,wɛdmidʲ
142,bʲeˑɫkə,bilkɑ
143,ɫɔˑsʲ,lɔsʲ
144,lisaˑ,lɪsɪt͡sʲɑ
145,zaˑjət͡s,zɑjɛt͡sʲ
146,mɨˑʃ,mɪʂɑ
147,vɔˑɫk,wɔwk
148,ptʲiˑt͡sə,ptɑx
149,staˑjə,zɦrɑjɑ
150,kuˑrʲit͡sə,kurkɑ
151,pʲɪtuˑx,pʲiwɛnʲ
152,ɡuˑsʲ,ɦuskɑ
153,ɐrʲoɫ,ɔrɛl
154,uˑtkə,kɑʈ͡ʂkɑ
155,sɐvaˑ,sɔwɑ
156,ʒuraˑvl,ʐurɑwɛlʲ
157,vɐrɔˑnə,wɔrɔnɑ
158,kukuˑʃkə,zɔzulʲɑ
159,leˑbʲɪtʲ,lɛbidʲ
160,rɨˑbə,rɪbɑ
161,ɔˑkunʲ,ɔkunʲ
162,ʃʃuˑkə,ʂʈ͡ʂukɑ
163,zmʲɪjaˑ,zmijɑ
164,t͡ʃʲɪrvʲaˑk,ʈ͡ʂɛrwjɑk
165,pɐuˑk,pɑwuk
166,murɐvʲeˑj,murɑʂkɑ
167,vɔˑʃ,wɔʂɑ
168,kɐmaˑr,kɔmɑr
169,muˑxə,muxɑ
170,baˑbət͡ʃkə,mɛtɛlɪk
171,jaˑɡədə,jɑɦɔdɑ
172,jaˑbɫəkə,jɑblukɔ
173,ɡrʲiˑp,ɦrɪb
174,ɫuˑkəvʲit͡sə,t͡sɪbulʲɑ
175,sʲeˑmʲɪ,sʲimjɑ
176,zʲɪrnɔˑ,zɛrnɔ
177,sʲeˑnə,sʲinɔ
178,ʃəɫuxaˑ,ʂkirkɑ
179,jaˑmə,jɑmɑ
180,ɫɐvuˑʃkə,pɑstkɑ
181,sʲiɫɔˑk,pɛtlʲɑ
182,sleˑt,slʲid
183,zɐɫaˑ,zɔlɑ
183,zɐɫaˑ,pɔpʲil
183,pʲeˑpʲɪɫ,zɔlɑ
183,pʲeˑpʲɪɫ,pɔpʲil
184,ɡrʲaˑsʲ,brud
185,ʒɪleˑzə,zɑlʲizɔ
186,zɔˑɫətə,zɔlɔtɔ
187,sʲɪrʲɪbrɔˑ,srʲiblɔ
188,uˑɡəl,wuɦjilʲːɑ
189,stʲɪkɫɔˑ,sklɔ
190,ɡliˑnə,ɦlɪnɑ
191,pʲɪsɔˑk,pʲisɔk
192,t͡ʃʲɪɫɐvʲeˑk,lʲudɪnɑ
193,muʒt͡ʃʲiˑnə,ʈ͡ʂɔlɔvik
194,ʒɛˑnʃʲːinə,ʐjinkɑ
195,rʲɪbʲonək,dɪtɪnɑ
196,maˑlt͡ʃʲik,xlɔpɛt͡sʲ
197,dʲeˑvət͡ʃkə,dʲiwʈ͡ʂɪnɑ
198,sʲɪmʲaˑ,sʲimjɑ
198,sʲɪmʲaˑ,rɔdɪnɑ
199,dʲeˑduʃkə,dʲidusʲ
200,baˑbuʃkə,bɑbusʲɑ
201,rɐdʲiˑtʲɪli,bɑtʲkɪ
202,ɐtʲeˑt͡s,bɑtʲkɔ
203,maˑtʲ,mɑtɪ
204,sɨˑn,sɪn
205,dɔˑt͡ʃʲ,dɔʈ͡ʂkɑ
206,braˑt,brɑt
207,sʲɪstraˑ,sɛstrɑ
208,dʲaˑdʲɪ,dʲɑdʲkɔ
209,tʲotʲɪ,tʲitkɑ
210,muˑʃ,ʈ͡ʂɔlɔvik
211,ʒɪnaˑ,ʐjinkɑ
211,ʒɪnaˑ,druʐɪnɑ
212,raˑdəstʲ,rɑdɔʂʈ͡ʂji
213,smʲeˑx,smix
214,st͡ʃaˑstʲɪ,ʂʈ͡ʂɑstʲɑ
215,ɡɔˑrʲɪ,ɦɔrɛ
216,ʒɪɫaˑnʲijə,bɑʐɑnʲːɑ
217,vlɪt͡ʃʲeˑnʲijə,bɑʐɑnʲːɑ
218,duˑx,dux
219,mɨsl,dumkɑ
220,paˑmʲɪtʲ,pɑmjɑtʲ
221,uˑm,rɔzum
222,smɨˑsɫ,zmist
222,smɨˑsɫ,znɑʈ͡ʂɛnʲːɑ
223,pɔˑvət,prɪʈ͡ʂɪnɑ
224,praˑvdə,prɑwdɑ
225,bʲɪsʲeˑdə,rɔzmɔwɑ
226,skaˑzkə,bɑjkɑ
227,rɐsskaˑs,pɔvistʲ
227,rɐsskaˑs,ɔpɔvidɑnʲːɑ
228,səɐbʃʲːeˑnʲijə,pɔvidɔmlɛnʲːɑ
229,nɔˑvəstʲ,nɔwɪnɑ
230,jɨˑmʲɪ,jimjɑ
231,zɐɡaˑdkə,zɑɦɑdkɑ
232,rʲeˑt͡ʃʲ,prɔmɔwɑ
233,jɐzɨˑk,mɔwɑ
234,ɡɔˑɫəs,ɦɔlɔs
235,sɫɔˑvə,slɔwɔ
236,znaˑk,znɑk
237,zɔˑf,ɔklɪk
238,ʃuˑm,ʂum
239,zvuˑk,zwuk
240,zvut͡ʃaˑnʲijə,tɔn
241,pʲeˑsnʲɪ,pʲisnʲɑ
242,pɐkɔˑj,spɔkij
243,luˑdʲi,lʲudɪ
244,nɐrɔˑt,nɑrɔd
245,rɐbɔˑtə,rɔbɔtɑ
246,ɡəstʲ,ɦjistʲ
247,pɐdaˑrək,pɔdɑrunɔk
248,jɨɡraˑ,ɦrɑ
249,ɔˑbʃʲːɪstvə,tɔwɑrɪstwɔ
250,pɔˑməʃʲː,dɔpɔmɔɦɑ
251,druˑk,druɦ
251,druˑk,prɪjɑtɛlʲ
252,prʲijaˑtʲɪl,tɔwɑrɪʂ
253,dʲeˑɫə,sprɑwɑ
254,kɐliˑt͡ʃʲɪstvə,ʈ͡ʂɪslɔ
255,vʲiˑt,rʲid
256,kusɔˑk,kusɔk
257,t͡ʃəstʲ,ʈ͡ʂɑstɪnɑ
258,pəɫɐvʲiˑnə,pɔlɔwɪnɑ
259,kruˑk,kruɦ
259,kruˑk,kɔlɔ
260,krʲeˑst,xrɛst
261,liˑnʲijə,lʲinʲijɑ
262,t͡ʃʲɪrtaˑ,ʂtrɪx
263,prəmʲɪʒuˑtək,prɔmiʐɔk
264,rəsstɐjaˑnʲijə,vidstɑnʲ
265,mʲeˑstnəstʲ,mit͡sːɛvistʲ
266,prɐstraˑnstvə,plɔʂʈ͡ʂɑ
267,mʲeˑstə,mit͡sːɛ
268,stərɐnaˑ,stɔrɔnɑ
269,sʲɪrʲɪdʲiˑnə,sɛrɛdɪnɑ
270,prʲɪdmʲeˑt,prɛdmɛt
271,vʲeˑʃʲː,rʲiʈ͡ʂ
272,krəj,krɑj
273,rʲɪbrɔˑ,rɛbrɔ
274,uˑɡəɫ,rʲiɦ
275,kɔˑnt͡ʃʲik,kinʈ͡ʂɪk
276,kɐnʲeˑt͡s,kinɛt͡sʲ
277,dɨraˑ,dʲirɑ
278,uˑɡəɫ,kutɔk
279,uzɔˑr,uzɔr
280,rɐzmʲeˑr,rɔzmir
281,dlinaˑ,dɔwʐɪnɑ
282,vɨsɐtaˑ,wɪsɔtɑ
283,vʲeˑs,wɑɦɑ
284,kɐliˑt͡ʃʲɪstvə,kilʲkistʲ
285,kuˑt͡ʃə,kupɑ
286,rʲaˑt,rʲɑd
287,ɫɔˑdkə,ʈ͡ʂɔwɛn
288,vʲɪsɫɔˑ,wɛslɔ
289,saˑnʲi,sɑnɪ
290,ɫɨˑʒə,lɪʐɑ
291,kɐstʲor,wɔɦnɪʂʈ͡ʂɛ
292,tʲaˑʒəstʲ,tʲɑɦɑr
292,tʲaˑʒəstʲ,wɑntɑʐ
293,xɔˑt,xid
294,ʃaˑk,krɔk
295,sʲeˑvʲɪr,pʲiwnʲiʈ͡ʂ
296,juˑk,pʲiwdɛnʲ
297,zaˑpət,zɑxid
298,vɐstɔˑk,sxid
299,drʲɪvʲɪsʲiˑnə,drɔwɑ
300,dɐskaˑ,dɔʂkɑ
301,plitaˑ,plɪtɑ
302,pɐdpɔˑrkə,pʲidpʲirkɑ
303,ʒərtʲ,ʐɛrdɪnɑ
304,paˑɫkə,pɑlɪt͡sʲɑ
305,ʃɛˑst,pɑlɪt͡sʲɑ
306,trubaˑ,trubɑ
307,dɔˑm,dʲim
307,dɔˑm,xɑtɑ
308,dɔˑm,ʐɪtlɔ
309,pʲeˑt͡ʃʲ,pʲiʈ͡ʂ
310,pɔˑɫ,pʲidlɔɦɑ
311,stɔˑɫ,stʲil
312,stuˑɫ,stʲilɛt͡sʲ
313,kəɫɨbʲeˑl,kɔlɪskɑ
314,pɐstʲeˑl,lʲiʐkɔ
314,pɐstʲeˑl,pɔstʲilʲ
315,pɔˑɫkə,pɔlɪt͡sʲɑ
316,jaˑʃʲːik,jɑʂʈ͡ʂɪk
317,ɐknɔˑ,viknɔ
318,dvʲeˑrʲ,dwɛrʲi
319,vɐrɔˑtə,wɔrɔtɑ
320,zɐbɔˑr,pɑrkɑn
320,zɐbɔˑr,ɔɦɔrɔʐɑ
321,krɨˑʃə,dɑx
322,leˑstnʲit͡sə,drɑbɪnɑ
323,mʲɪtɫaˑ,mitlɑ
324,ɫɐpaˑtə,zɑstup
325,sɐvɔˑk,sɔwɔk
325,sɐvɔˑk,lɔpɑtɑ
326,vʲiˑɫkə,wɪdɛlkɑ
327,ɫɔˑʒkə,lɔʐkɑ
328,nɔˑʃ,nʲiʐ
329,ɡvəztʲ,t͡svɑx
330,sʲeˑtʲ,sʲitʲ
331,krʲuˑk,krʲuk
332,ruˑt͡ʃkə,ruʈ͡ʂkɑ
332,ruˑt͡ʃkə,dɛrʐɑk
333,zɐmɔˑk,zɑmɔk
334,kɐrtʲiˑnə,kɑrtɪnɑ
335,fʲiɡuˑrə,fiɦurɑ
336,kuˑkɫə,lʲɑlʲkɑ
337,mʲɪʃɔˑk,miʂɛʈ͡ʂɔk
337,mʲɪʃɔˑk,tɔrbɪnkɑ
338,svʲaˑzkə,wjɑzkɑ
339,suˑmkə,sumkɑ
340,vʲɪdrɔˑ,vidrɔ
341,krɨˑʃkə,krɪʂkɑ
342,pɐsuˑdə,pɔsud
343,mʲɪʃɔˑk,miʂɔk
344,t͡ʃaˑʃkə,ʈ͡ʂɑʂkɑ
345,kɐstrʲuˑlɪ,ɦɔrʂʈ͡ʂɪk
346,kɐtʲoɫ,kɔtɛl
347,jɪdaˑ,jiʐɑ
348,pʲiˑʃʃə,xɑrʈ͡ʂ
349,bluˑdə,strɑwɑ
349,kuˑʃənʲɪ,strɑwɑ
350,mʲaˑsə,mjɑsɔ
351,xleˑp,xlʲib
351,xleˑp,zbiʐːɑ
352,kaˑʃə,kɑʂɑ
353,xleˑp,xlʲib
354,ɫɐmɔˑtʲ,skɪbɔʈ͡ʂkɑ
355,ʒɨˑr,ʐɪr
356,maˑsɫə,mɑslɔ
357,maˑsɫə,ɔlʲijɑ
358,sɔˑl,sʲilʲ
359,suˑp,sup
360,mʲot,mɛd
361,məɫɐkɔˑ,mɔlɔkɔ
362,t͡ʃəj,ʈ͡ʂɑj
363,kɔˑʒə,ʂkirɑ
364,ʃərstʲ,ʂɛrstʲ
365,tkaˑnʲ,tkɑnɪnɑ
366,jɨɡɫaˑ,ɦɔlkɑ
367,nʲiˑtkə,nɪtkɑ
368,puˑɡəvʲit͡sə,ɡud͡zɪk
369,uˑzʲɪɫ,wuzɔl
370,kraˑskə,fɑrbɑ
371,ɐdʲeˑʒdə,ɔdʲɑɦ
371,ɐdʲeˑʒdə,ubrɑnʲːɑ
372,rubaˑʃkə,sɔrɔʈ͡ʂkɑ
373,vərɐtnʲiˑk,kɔmir
374,rukaˑf,rukɑw
375,brʲuˑki,brʲukɪ
376,pɔˑjəs,pɔjɑs
377,ʃaˑpkə,ʂɑpkɑ
378,bɐtʲiˑnək,bɔtɪnɔk
379,sɐpɔˑk,ʈ͡ʂɔbit
380,kɐlt͡sɔˑ,kilʲt͡sɛ
381,leˑntə,strʲiʈ͡ʂkɑ
382,rɐst͡ʃʲoskə,ɦrɛbinɛt͡sʲ
383,zʲeˑrkəɫə,d͡zɛrkɑlɔ
384,rʲɪmʲeˑnʲ,rɛminʲ
385,vʲɪrʲovkə,virʲɔwkɑ
386,pəvɐdɔˑk,ʂwɔrkɑ
387,ɐdʲɪjaˑɫə,kɔwdrɑ
388,pɐduˑʃkə,pɔduʂkɑ
389,pɫɐtɔˑk,xustkɑ
390,pəɫɐtʲeˑnt͡sə,ruʂnɪk
391,sʲiˑɫə,sɪlɑ
392,krʲeˑpəstʲ,sɪlɑ
393,zdɐrɔˑvʲɪ,zdɔrɔwjɑ
394,bɐleˑznʲ,xwɔrɔbɑ
395,bɔˑl,bilʲ
396,raˑnə,rɑnɑ
397,lixɐraˑdkə,ɦɑrʲɑʈ͡ʂkɑ
397,tʲɪmpʲɪrɐtuˑrə,ɦɑrʲɑʈ͡ʂkɑ
398,lɪkaˑrstvə,lʲikɪ
399,mɔˑst,mist
400,kɐɫɔˑdʲɪt͡s,kɔlɔdʲɑzʲ
401,paˑstbʲiʃʲːɪ,pɑsɔwɪʂʈ͡ʂɛ
402,trɐpaˑ,stɛʐkɑ
403,puˑtʲ,ʂlʲɑx
403,puˑtʲ,dɔrɔɦɑ
403,dɐrɔˑɡə,ʂlʲɑx
403,dɐrɔˑɡə,dɔrɔɦɑ
404,uˑlit͡sə,wulɪt͡sʲɑ
404,dɐrɔˑɡə,wulɪt͡sʲɑ
405,dʲɪrʲeˑvnʲɪ,sɛlɔ
406,ɡɔˑrət,mistɔ
407,pʲisʲmɔˑ,lɪst
408,knʲiˑɡə,knɪɦɑ
408,knʲiˑɡə,knɪʐkɑ
409,buˑkvə,bukwɑ
409,buˑkvə,lʲitɛrɑ
410,ɡɐzʲeˑtə,ɦɑzɛtɑ
411,ʒɨznʲ,ʐɪtʲːɑ
412,smʲɪrtʲ,smɛrtʲ
413,mɐɡiˑɫə,mɔɦɪlɑ
414,t͡sɛˑrkəfʲ,t͡sɛrkwɑ
415,ɡrʲeˑx,ɦrʲix
416,bɔˑx,bɔɦ
417,rɐbɔˑt͡ʃʲij,rɔbitnɪk
418,nɐt͡ʃaˑlnʲik,xɑzʲɑjin
419,maˑstʲɪr,umilɛt͡sʲ
420,vraˑt͡ʃ,lʲikɑr
421,ut͡ʃʲiˑtʲɪl,wʈ͡ʂɪtɛlʲ
422,dʲeˑnʲɡi,ɦrɔʂji
423,zɐnʲaˑtʲijə,zɑnʲɑtʲːɑ
424,məɡɐzʲiˑn,mɑɦɑzɪn
424,məɡɐzʲiˑn,krɑmnɪt͡sʲɑ
425,t͡sɪnaˑ,t͡sʲinɑ
426,tɐvaˑr,tɔwɑr
427,vɨˑɡədə,wɪɦɔdɑ
427,vɨˑɡədə,kɔrɪstʲ
428,bɐɡaˑtstvə,bɑɦɑtstwɔ
429,mʲiˑr,svit
430,strɐnaˑ,krɑjinɑ
431,ɡəsudaˑrstvə,dɛrʐɑwɑ
432,kɐrɔˑl,kɔrɔlʲ
433,vɫəstʲ,wlɑdɑ
434,ɡrɐnʲiˑt͡sə,kɔrdɔn
435,vəjnaˑ,vijnɑ
436,vraˑk,wɔrɔɦ
437,nɐsʲiˑlijə,nɑsɪlʲstwɔ
438,bɐrʲbaˑ,bij
438,bɐrʲbaˑ,bɔrɔdʲbɑ
439,ɫuˑk,luk
440,strʲɪɫaˑ,strʲilɑ
441,ruʒʲo,ruʂnɪt͡sʲɑ
441,ruʒʲo,ɦwɪntʲiwkɑ
442,ɐʃɨˑbkə,pɔmɪlkɑ
443,ɫɔˑʃ,brɛxnʲɑ
444,vrʲeˑt,ʂkɔdɑ
444,vrʲeˑt,zbɪtɔk
445,bʲɪdaˑ,nɛʂʈ͡ʂɑstʲɑ
446,vʲinaˑ,prɔwɪnɑ
447,vɔˑzrəst,vik
447,vɔˑzrəst,lʲitɑ
448,ɐkɐnt͡ʃaˑnʲijə,kinɛt͡sʲ
449,vrʲeˑmʲɪ,ʈ͡ʂɑs
450,dʲeˑnʲ,dɛnʲ
451,uˑtrə,rɑnɔk
452,pɔˑɫdʲɪnʲ,pʲiwdɛnʲ
453,vʲeˑt͡ʃʲɪr,wɛʈ͡ʂjir
454,nɔˑt͡ʃʲ,nʲiʈ͡ʂ
455,nʲɪdʲeˑlɪ,tɪʐdɛnʲ
456,mʲeˑsʲɪt͡s,misʲɑt͡sʲ
457,ɡɔˑt,rʲik
458,vʲɪsnaˑ,wɛsnɑ
459,leˑtə,lʲitɔ
460,ɔˑsʲɪnʲ,ɔsʲinʲ
461,zʲimaˑ,zɪmɑ
462,jɐnvaˑrʲ,sʲiʈ͡ʂɛnʲ
463,fʲɪvraˑl,lʲutɪj
464,maˑrt,bɛrɛzɛnʲ
465,ɐprʲeˑl,kvitɛnʲ
466,məj,trɑwɛnʲ
467,jɨjuˑnʲ,ʈ͡ʂɛrwɛnʲ
468,jɨjuˑl,lɪpɛnʲ
469,aˑvɡust,sɛrpɛnʲ
470,sʲɪntʲaˑbrʲ,wɛrɛsɛnʲ
471,ɐktʲaˑbrʲ,ʐɔwtɛnʲ
472,nɐjaˑbrʲ,lɪstɔpɑd
473,dʲɪkaˑbrʲ,ɦrudɛnʲ
474,pənʲɪdʲeˑlnʲik,pɔnɛdʲilɔk
475,vtɔˑrnʲik,viwtɔrɔk
476,srʲɪdaˑ,sɛrɛdɑ
477,t͡ʃʲɪtvʲeˑrk,ʈ͡ʂɛtwɛr
478,pʲaˑtnʲit͡sə,pjɑtnɪt͡sʲɑ
479,subbɔˑtə,subɔtɑ
480,vəskrʲɪsʲeˑnʲɪ,nɛdʲilʲɑ
481,bɐlʃɔˑj,wɛlɪkɪj
