concept_id,deu,swe
170,ʃmɛtɛɐ̯lɪŋ,fjæːrɪl
171,beːʁə,bæːr
172,ap͡fəl,ɛpːlə
173,pɪlt͡s,svamːp
174,t͡sviːbəl,løːk
175,zaːt,sɔdː
176,kɔɐ̯n,kuːɳ
177,hɔʏ̯,høː
178,ʃaːlə,skɑːl
179,ɡʁuːbə,ɡruːp
180,falə,fɛlːa
181,ʃlɪŋə,snɑːra
182,ʃpuːɐ̯,spoːr
183,aʃə,asːka
184,dʁɛk,luːʈ
185,aɪ̯zən,jæːɳ
186,ɡɔlt,ɡɵlːd
187,zɪlbɐ,sɪlːvər
188,koːlə,kuːl
189,ɡlaːs,ɡlɑːs
190,leːm,leːra
191,zant,sanːd
192,mɛnʃ,mɛnːɪska
193,man,manː
194,fʁaʊ̯,kvɪnːa
195,kɪnt,bɑːɳ
196,jʊŋə,pɔjːkə
197,mɛdçən,flɪkːa
198,faːmiːliː,famːɪlj
199,ɡʁoːsfaːtɐ,mɔrːfar
200,ɡʁoːsmʊtɐ,farːmɔr
201,ɛltɐn,fœːrɛldrar
202,faːtɐ,fɑːr
203,mʊtɐ,muːr
204,zoːn,suːn
205,tɔχtɐ,dɔtːər
206,bʁuːdɐ,bruːr
207,ʃvɛstɐ,sʏsːtər
208,ɔŋkəl,mɔrːbrɔr
209,tantə,tanːt
210,eːəman,ɛkːta mɑːn
211,eːəfʁaʊ̯,hɵsːtrɵ
212,fʁɔʏ̯də,frøjːd
212,fʁɔʏ̯də,ɡlɛdːjə
213,ɡəlɛçtɐ,oːtløjə
214,ɡlʏk,lʏkːa
215,kʊmɐ,sɔrːɡ
216,vʊnʃ,ønːskan
217,lʊst,lɵsːt
218,ɡaɪ̯st,anːdə
219,ɡədaŋkə,tanːkə
220,ɡədɛçtnɪs,mɪnːə
221,fɛɐ̯ʃtant,fœrːstɔnd
222,zɪn,meːnɪŋ
222,zɪn,bətyːdɛlsə
223,ɡʁʊnt,ɧɛːl
223,ɡʁʊnt,ɡrɵnːd
224,vaːɐ̯haɪ̯t,sanːɪŋ
225,ɡəspʁɛç,samːtal
226,mɛɐ̯çən,sɑːɡa
227,ɛɐ̯t͡sɛːlʊŋ,bərɛtːɛlsə
228,naχʁɪçt,mɛdːɛlandə
229,nɔʏ̯ɪɡkaɪ̯t,nyːhət
230,naːmə,namːn
231,ʁɛt͡səl,ɡoːta
232,ʁeːdə,tɑːl
233,ʃpʁaχə,sproːk
234,ʃtɪmə,stɛmːa
235,vɔɐ̯t,uːɖ
236,t͡saɪ̯çən,tɛkːən
237,ʁuːf,ruːp
238,lɛɐ̯m,broːk
