concept_id,rus,ukr,distance
2, ['#', '*', 'uˑ', 'x', 'ə'], ['#', 'w', 'u', 'x', 'ɔ'], 0.3
3, ['#', 'n', 'ɔˑ', 's'], ['#', 'nʲ', 'i', 's'], 0.22
4, ['#', 'r', 'ɔˑ', 't'], ['#', 'r', 'ɔ', 't'], 0.04
5, ['#', 'z', 'uˑ', 'p'], ['#', 'z', 'u', 'b'], 0.09
6, ['#', 'j', 'ɐ', 'z', 'ɨˑ', 'k'], ['#', 'j', 'ɑ', 'z', 'ɪ', 'k'], 0.08
7, ['#', 'ɡ', 'u', 'b', 'aˑ'], ['#', 'ɦ', 'u', 'b', 'ɑ'], 0.15
10, ['#', 'ɫ', 'ɔˑ', 'p'], ['#', 'l', 'ɔ', 'b'], 0.19
11, ['#', 'v', 'ɔˑ', 'ɫ', 'ə', 's', 'ɨ'], ['#', 'w', 'ɔ', 'l', 'ɔ', 'sʲː', 'ɑ'], 0.31
12, ['#', '*', 'u', 's', 'ɨˑ'], ['#', 'w', 'u', 's', 'ɑ'], 0.28
13, ['#', 'b', 'ə', 'r', 'ɐ', 'd', 'aˑ'], ['#', 'b', 'ɔ', 'r', 'ɔ', 'd', 'ɑ'], 0.14
14, ['#', 'p', 'ə', 'd', 'b', 'ɐ', 'r', 'ɔˑ', 'd', 'ə', 'k'], ['#', 'pʲ', 'i', 'd', 'b', 'ɔ', 'rʲ', 'i', 'dʲː', 'ɑ', '*'], 0.3
16, ['#', 'ɡ', 'ɔˑ', 'r', 'ɫ', 'ə'], ['#', 'ɦ', 'ɔ', 'r', 'l', 'ɔ'], 0.22
17, ['#', 'ʃ', 'ɛˑ', 'j', 'ə'], ['#', 'ʂ', 'ɪ', 'j', 'ɑ'], 0.15
19, ['#', 'ɡ', 'ə', 'ɫ', 'ɐ', 'v', 'aˑ'], ['#', 'ɦ', 'ɔ', 'l', 'ɔ', 'w', 'ɑ'], 0.34
20, ['#', 's', 'pʲ', 'i', 'n', 'aˑ'], ['#', 's', 'p', 'ɪ', 'n', 'ɑ'], 0.12
21, ['#', 'ʒ', 'ɨ', 'v', 'ɔˑ', 't'], ['#', 'ʐ', 'ɪ', 'v', 'i', 't'], 0.16
22, ['#', 'p', 'u', 'p', 'ɔˑ', 'k'], ['#', 'p', 'u', 'p', 'ɔ', 'k'], 0.03
24, ['#', 'ɡ', 'r', 'uˑ', 'tʲ', '*'], ['#', 'ɦ', 'r', 'u', 'd', 'ɪ'], 0.33
25, ['#', 'p', 'l', 'ɪ', 't͡ʃ', 'ɔˑ'], ['#', 'p', 'l', 'ɛ', 'ʈ͡ʂ', 'ɛ'], 0.16
26, ['#', 'r', 'u', 'k', 'aˑ'], ['#', 'r', 'u', 'k', 'ɑ'], 0.07
27, ['#', 'ɫ', 'ɔˑ', 'k', 'ə', 'tʲ'], ['#', 'lʲ', 'i', 'k', 'ɔ', 'tʲ'], 0.27
29, ['#', 'ɫ', 'ɐ', 'd', 'ɔˑ', 'nʲ', '*'], ['#', 'd', 'ɔ', 'l', 'ɔ', 'nʲ', 'ɑ'], 0.3
30, ['#', 'p', 'aˑ', 'l', 'ɪ', 't͡s'], ['#', 'p', 'ɑ', 'l', 'ɛ', 't͡sʲ'], 0.13
31, ['#', 'n', 'ɔˑ', 'ɡ', 'ə', 'tʲ'], ['#', 'nʲ', 'i', 'ɦ', 'ɔ', 'tʲ'], 0.27
32, ['#', 'n', 'ɔˑ', 'ɡ', 'ə', 'tʲ'], ['#', 'nʲ', 'i', 'ɦ', 'ɔ', 'tʲ'], 0.27
35, ['#', 'pʲ', '*', 'aˑ', 't', 'k', 'ə'], ['#', 'p', 'j', 'ɑ', 't', 'k', 'ɑ'], 0.25
36, ['#', 'k', 'ɐ', 'l', 'eˑ', 'n', 'ə'], ['#', 'k', 'ɔ', 'lʲ', 'i', 'n', 'ɔ'], 0.16
37, ['#', '*', 'bʲ', 'ɪ', 'd', 'r', 'ɔˑ'], ['#', 's', 't', 'ɛ', 'ɦ', 'n', 'ɔ'], 0.37
38, ['#', 'n', 'ɐ', 'ɡ', 'aˑ'], ['#', 'n', 'ɔ', 'ɦ', 'ɑ'], 0.21
39, ['#', 'tʲ', 'eˑ', 'ɫ', 'ə'], ['#', 'tʲ', 'i', 'l', 'ɔ'], 0.2
40, ['#', '*', 'k', 'ɔˑ', 'ʒ', 'ə'], ['#', 'ʂ', 'k', 'i', 'r', 'ɑ'], 0.37
41, ['#', 'k', 'r', 'ɔˑ', 'fʲ'], ['#', 'k', 'r', 'ɔ', 'w'], 0.19
42, ['#', 'vʲ', 'eˑ', 'n', 'ə'], ['#', 'w', 'ɛ', 'n', 'ɑ'], 0.22
43, ['#', 's', 'u', 'x', 'ɐ', 'ʒ', 'ɨˑ', 'l', 'i', 'j', 'ə'], ['#', 's', 'u', 'x', 'ɔ', 'ʐ', 'ɪ', 'lʲː', '*', '*', 'ɑ'], 0.31
44, ['#', 'k', 'ə', 's', 'tʲ', '*', '*'], ['#', 'k', 'i', 's', 't', 'k', 'ɑ'], 0.35
45, ['#', 'm', 'ɔˑ', 'z', '*', 'k'], ['#', 'm', 'ɔ', 'z', 'ɔ', 'k'], 0.19
46, ['#', 'sʲ', 'eˑ', 'r', 'd', 't͡s', 'ə'], ['#', 's', 'ɛ', 'r', '*', 't͡s', 'ɛ'], 0.23
47, ['#', 'ʒ', 'ɪ', 'ɫ', 'uˑ', 'd', 'ə', 'k'], ['#', 'ʂ', '*', 'l', 'u', 'n', 'ɔ', 'k'], 0.3
49, ['#', 'd', 'ɨ', 'x', 'aˑ', 'nʲ', 'i', 'j', 'ə'], ['#', 'd', 'ɪ', 'x', 'ɑ', 'nʲː', '*', '*', 'ɑ'], 0.33
50, ['#', 'ɡ', 'ɔˑ', 'ɫ', 'ə', 't'], ['#', 'ɦ', 'ɔ', 'l', 'ɔ', 'd'], 0.25
51, ['#', 's', 'l', 'ɪ', 'z', 'aˑ'], ['#', 's', 'lʲ', 'ɔ', 'z', 'ɑ'], 0.17
52, ['#', 'v', 'k', 'uˑ', 's'], ['#', 's', 'm', 'ɑ', 'k'], 0.36
53, ['#', 'z', 'aˑ', 'p', 'ə', 'x'], ['#', 'z', 'ɑ', 'p', 'ɑ', 'x'], 0.1
54, ['#', 's', 'ɔˑ', 'n'], ['#', 's', 'ɔ', 'n'], 0.04
56, ['#', 'nʲ', 'eˑ', 'b', 'ə'], ['#', 'n', 'ɛ', 'b', 'ɔ'], 0.16
57, ['#', 's', 'ɔˑ', 'n', 't͡s', 'ə'], ['#', 's', 'ɔ', 'n', 't͡s', 'ɛ'], 0.06
59, ['#', 'z', 'vʲ', 'ɪ', 'z', 'd', 'aˑ'], ['#', '*', 'zʲ', 'i', 'r', 'k', 'ɑ'], 0.31
61, ['#', 'vʲ', 'eˑ', 'tʲ', 'ɪ', 'r'], ['#', 'v', 'i', 't', 'ɛ', 'r'], 0.15
63, ['#', 'v', 'ɐ', 'd', 'aˑ'], ['#', 'w', 'ɔ', 'd', 'ɑ'], 0.25
64, ['#', 'k', 'aˑ', 'mʲ', 'ɪ', 'nʲ'], ['#', 'k', 'ɑ', 'm', 'i', 'nʲ'], 0.12
