concept_id,rus,ukr,distance
1, ['#', 'ɡ', 'ɫ', 'aˑ', 's'], ['#', 'ɔ', 'k', '*', 'ɔ'], 0.68
8, ['#', '*', 'ʃʲː', 'ɪ', 'k', 'aˑ'], ['#', 'ʂ', 'ʈ͡ʂ', 'ɔ', 'k', 'ɑ'], 0.41
9, ['#', '*', '*', 'l', 'i', '*', 't͡s', '*', 'ɔˑ'], ['#', 'ɔ', 'b', 'l', 'ɪ', 'ʈ', 'ʈ͡ʂ', 'j', 'ɑ'], 0.53
11, ['#', 'v', 'ɔˑ', 'ɫ', 'ə', 's', '*'], ['#', 'w', 'ɔ', 'l', 'ɔ', 'sʲː', 'ɑ'], 0.41
12, ['#', '*', 'uˑ', 's', '*'], ['#', 'w', 'u', 's', 'ɑ'], 0.43
15, ['#', '*', 't͡ʃʲ', 'eˑ', 'l', 'u', 's', 'tʲ'], ['#', 'ʂ', 'ʈ͡ʂ', 'ɛ', 'l', 'ɛ', 'p', 'ɑ'], 0.44
18, ['#', '*', '*', 'z', 'ɐ', 't', 'ɨˑ', 'ɫ', 'ə', 'k'], ['#', 'p', 'ɔ', 't', 'ɪ', 'l', 'ɪ', 't͡sʲ', 'ɑ', '*'], 0.48
23, ['#', 'ʒ', 'ɛˑ', 'n', 's', 'k', 'ə', 'j', 'ə', 'ɡ', 'r', 'u', 'tʲ'], ['#', 'ɦ', '*', 'r', '*', '*', 'u', 'd', 'ɪ', '*', '*', '*', '*'], 0.64
28, ['#', 'k', 'i', 's', 'tʲ'], ['#', 'r', 'u', 'k', 'ɑ'], 0.47
33, ['#', 'p', 'aˑ', 'l', 'ɪ', '*', '*', '*', 't͡s', '*', '*', '*'], ['#', 'p', 'ɑ', 'l', 'ɛ', 't͡sʲ', 'n', 'ɑ', 'n', 'ɔ', 'zʲ', 'i'], 0.57
34, ['#', 's', 't', 'u', 'p', 'nʲ', 'aˑ'], ['#', '*', 'n', 'ɔ', '*', 'ɦ', 'ɑ'], 0.5
35, ['#', 'pʲ', '*', 'ɪ', 't', '*', 'aˑ'], ['#', 'p', 'j', 'ɑ', 't', 'k', 'ɑ'], 0.41
42, ['#', 's', 'ɐ', 's', 'uˑ', 't'], ['#', 'w', 'ɛ', 'n', '*', 'ɑ'], 0.56
43, ['#', 'ʒ', 'ɨˑ', 'ɫ', '*', '*', 'ə', '*', '*'], ['#', 's', 'u', 'x', 'ɔ', 'ʐ', 'ɪ', 'lʲː', 'ɑ'], 0.59
43, ['#', 'tʲ', 'ɪ', '*', '*', 'tʲ', 'i', 'v', 'aˑ'], ['#', 's', 'u', 'x', 'ɔ', 'ʐ', 'ɪ', 'lʲː', 'ɑ'], 0.54
