lang_iso_code,concept_id,ortho_form,raw_ipa,next_step
ukr,137,вівця,viwt͡sʲɑ,validate
ukr,138,свиня,swɪnʲɑ,validate
ukr,139,собака,sɔbɑkɑ,validate
ukr,140,кішка,kiʂkɑ,validate
ukr,141,ведмідь,wɛdmidʲ,validate
ukr,142,білка,bilkɑ,validate
ukr,143,лось,lɔsʲ,validate
ukr,144,лисиця,lɪsɪt͡sʲɑ,validate
ukr,145,заєць,zɑjɛt͡sʲ,validate
ukr,146,миша,mɪʂɑ,validate
ukr,147,вовк,wɔwk,validate
ukr,148,птах,ptɑx,validate
ukr,149,зграя,zɦrɑjɑ,validate
ukr,150,курка,kurkɑ,review
ukr,151,півень,pʲiwɛnʲ,validate
ukr,152,гуска,ɦuskɑ,validate
ukr,153,орел,ɔrɛl,validate
ukr,154,качка,kɑʈ͡ʂkɑ,validate
ukr,155,сова,sɔwɑ,validate
ukr,156,журавель,ʐurɑwɛlʲ,validate
ukr,157,ворона,wɔrɔnɑ,validate
ukr,158,зозуля,zɔzulʲɑ,validate
ukr,159,лебідь,lɛbidʲ,validate
ukr,160,риба,rɪbɑ,validate
ukr,161,окунь,ɔkunʲ,validate
ukr,162,щука,ʂʈ͡ʂukɑ,validate
ukr,163,змія,zmijɑ,validate
ukr,164,черв’як,ʈ͡ʂɛrwjɑk,validate
ukr,165,павук,pɑwuk,validate
ukr,166,мурашка,murɑʂkɑ,validate
ukr,167,воша,wɔʂɑ,validate
ukr,168,комар,kɔmɑr,validate
ukr,169,муха,muxɑ,validate
ukr,170,метелик,mɛtɛlɪk,validate
ukr,171,ягода,jɑɦɔdɑ,validate
ukr,172,яблуко,jɑblukɔ,validate
ukr,173,гриб,ɦrɪb,validate
ukr,174,цибуля,t͡sɪbulʲɑ,validate
ukr,175,сім’я,sʲimjɑ,validate
ukr,176,зерно,zɛrnɔ,validate
ukr,177,сіно,sʲinɔ,validate
ukr,178,шкірка,ʂkirkɑ,validate
ukr,179,яма,jɑmɑ,validate
ukr,180,пастка,pɑstkɑ,review
ukr,181,петля,pɛtlʲɑ,validate
ukr,182,слід,slʲid,validate
ukr,183,зола,zɔlɑ,validate
ukr,183,попіл,pɔpʲil,validate
ukr,184,бруд,brud,review
ukr,185,залізо,zɑlʲizɔ,validate
ukr,186,золото,zɔlɔtɔ,validate
ukr,187,срібло,srʲiblɔ,validate
ukr,188,вугілля,wuɦjilʲːɑ,validate
ukr,189,скло,sklɔ,validate
ukr,190,глина,ɦlɪnɑ,validate
ukr,191,пісок,pʲisɔk,validate
ukr,192,людина,lʲudɪnɑ,validate
ukr,193,чоловік,ʈ͡ʂɔlɔvik,validate
ukr,194,жінка,ʐjinkɑ,validate
ukr,195,дитина,dɪtɪnɑ,validate
ukr,196,хлопець,xlɔpɛt͡sʲ,validate
ukr,197,дівчина,dʲiwʈ͡ʂɪnɑ,validate
ukr,198,сім’я,sʲimjɑ,validate
ukr,198,родина,rɔdɪnɑ,validate
ukr,199,дідусь,dʲidusʲ,validate
ukr,200,бабуся,bɑbusʲɑ,validate
ukr,201,батьки,bɑtʲkɪ,validate
ukr,202,батько,bɑtʲkɔ,validate
ukr,203,мати,mɑtɪ,validate
ukr,204,син,sɪn,validate
ukr,205,дочка,dɔʈ͡ʂkɑ,validate
ukr,206,брат,brɑt,validate
ukr,207,сестра,sɛstrɑ,validate
ukr,208,дядько,dʲɑdʲkɔ,validate
ukr,209,тітка,tʲitkɑ,validate
ukr,210,чоловік,ʈ͡ʂɔlɔvik,validate
ukr,211,жінка,ʐjinkɑ,validate
ukr,211,дружина,druʐɪnɑ,validate
ukr,212,радощі,rɑdɔʂʈ͡ʂji,validate
ukr,213,сміх,smix,validate
ukr,214,щастя,ʂʈ͡ʂɑstʲɑ,validate
ukr,215,горе,ɦɔrɛ,validate
ukr,216,бажання,bɑʐɑnʲːɑ,validate
ukr,217,бажання,bɑʐɑnʲːɑ,review
ukr,218,дух,dux,validate
ukr,219,думка,dumkɑ,validate
ukr,220,пам’ять,pɑmjɑtʲ,validate
ukr,221,розум,rɔzum,validate
ukr,222,зміст,zmist,review
ukr,222,значення,znɑʈ͡ʂɛnʲːɑ,review
ukr,223,причина,prɪʈ͡ʂɪnɑ,validate
ukr,224,правда,prɑwdɑ,validate
ukr,225,розмова,rɔzmɔwɑ,validate
ukr,226,байка,bɑjkɑ,review
ukr,227,повість,pɔvistʲ,review
ukr,227,оповідання,ɔpɔvidɑnʲːɑ,review
ukr,228,повідомлення,pɔvidɔmlɛnʲːɑ,validate
ukr,229,новина,nɔwɪnɑ,validate
ukr,230,ім’я,jimjɑ,validate
ukr,231,загадка,zɑɦɑdkɑ,review
ukr,232,промова,prɔmɔwɑ,validate
ukr,233,мова,mɔwɑ,validate
ukr,234,голос,ɦɔlɔs,validate
ukr,235,слово,slɔwɔ,validate
ukr,236,знак,znɑk,validate
ukr,237,оклик,ɔklɪk,validate
ukr,238,шум,ʂum,validate
ukr,239,звук,zwuk,validate
ukr,240,тон,tɔn,validate
ukr,241,пісня,pʲisnʲɑ,validate
ukr,242,спокій,spɔkij,validate
ukr,243,люди,lʲudɪ,validate
ukr,244,народ,nɑrɔd,validate
ukr,245,робота,rɔbɔtɑ,validate
ukr,246,гість,ɦjistʲ,validate
ukr,247,подарунок,pɔdɑrunɔk,validate
ukr,248,гра,ɦrɑ,validate
ukr,249,товариство,tɔwɑrɪstwɔ,review
ukr,250,допомога,dɔpɔmɔɦɑ,validate
ukr,251,друг,druɦ,validate
ukr,251,приятель,prɪjɑtɛlʲ,validate
ukr,252,товариш,tɔwɑrɪʂ,validate
ukr,253,справа,sprɑwɑ,validate
ukr,254,число,ʈ͡ʂɪslɔ,validate
ukr,255,рід,rʲid,review
ukr,256,кусок,kusɔk,review
ukr,257,частина,ʈ͡ʂɑstɪnɑ,validate
ukr,258,половина,pɔlɔwɪnɑ,validate
ukr,259,круг,kruɦ,validate
ukr,259,коло,kɔlɔ,validate
ukr,260,хрест,xrɛst,validate
ukr,261,лінія,lʲinʲijɑ,validate
ukr,262,штрих,ʂtrɪx,validate
ukr,263,проміжок,prɔmiʐɔk,validate
ukr,264,відстань,vidstɑnʲ,validate
ukr,265,місцевість,mit͡sːɛvistʲ,review
ukr,266,площа,plɔʂʈ͡ʂɑ,review
ukr,267,місце,mit͡sːɛ,validate
ukr,268,сторона,stɔrɔnɑ,validate
ukr,269,середина,sɛrɛdɪnɑ,validate
ukr,270,предмет,prɛdmɛt,validate
ukr,271,річ,rʲiʈ͡ʂ,validate
ukr,272,край,krɑj,validate
ukr,273,ребро,rɛbrɔ,review
ukr,274,ріг,rʲiɦ,validate
ukr,275,кінчик,kinʈ͡ʂɪk,validate
ukr,276,кінець,kinɛt͡sʲ,validate
ukr,277,діра,dʲirɑ,validate
ukr,278,куток,kutɔk,validate
ukr,279,узор,uzɔr,review
ukr,280,розмір,rɔzmir,validate
ukr,281,довжина,dɔwʐɪnɑ,validate
ukr,282,висота,wɪsɔtɑ,validate
ukr,283,вага,wɑɦɑ,validate
ukr,284,кількість,kilʲkistʲ,review
ukr,285,купа,kupɑ,validate
ukr,286,ряд,rʲɑd,validate
ukr,287,човен,ʈ͡ʂɔwɛn,validate
ukr,288,весло,wɛslɔ,validate
ukr,289,сани,sɑnɪ,validate
ukr,290,лижа,lɪʐɑ,validate
ukr,291,вогнище,wɔɦnɪʂʈ͡ʂɛ,validate
ukr,292,тягар,tʲɑɦɑr,review
ukr,292,вантаж,wɑntɑʐ,review
ukr,293,хід,xid,validate
ukr,294,крок,krɔk,validate
ukr,295,північ,pʲiwnʲiʈ͡ʂ,validate
ukr,296,південь,pʲiwdɛnʲ,validate
ukr,297,захід,zɑxid,validate
ukr,298,схід,sxid,validate
ukr,299,дрова,drɔwɑ,validate
ukr,300,дошка,dɔʂkɑ,validate
ukr,301,плита,plɪtɑ,validate
ukr,302,підпірка,pʲidpʲirkɑ,validate
ukr,303,жердина,ʐɛrdɪnɑ,validate
ukr,304,палиця,pɑlɪt͡sʲɑ,validate
ukr,305,палиця,pɑlɪt͡sʲɑ,review
ukr,306,труба,trubɑ,validate
ukr,307,дім,dʲim,validate
ukr,307,хата,xɑtɑ,validate
ukr,308,житло,ʐɪtlɔ,validate
ukr,309,піч,pʲiʈ͡ʂ,validate
ukr,310,підлога,pʲidlɔɦɑ,validate
ukr,311,стіл,stʲil,validate
ukr,312,стілець,stʲilɛt͡sʲ,validate
ukr,313,колиска,kɔlɪskɑ,validate
ukr,314,ліжко,lʲiʐkɔ,validate
ukr,314,постіль,pɔstʲilʲ,validate
ukr,315,полиця,pɔlɪt͡sʲɑ,validate
ukr,316,ящик,jɑʂʈ͡ʂɪk,validate
ukr,317,вікно,viknɔ,validate
ukr,318,двері,dwɛrʲi,validate
ukr,319,ворота,wɔrɔtɑ,validate
ukr,320,паркан,pɑrkɑn,validate
ukr,320,огорожа,ɔɦɔrɔʐɑ,validate
ukr,321,дах,dɑx,validate
ukr,322,драбина,drɑbɪnɑ,validate
ukr,323,мітла,mitlɑ,validate
ukr,324,заступ,zɑstup,validate
ukr,325,совок,sɔwɔk,validate
ukr,325,лопата,lɔpɑtɑ,validate
ukr,326,виделка,wɪdɛlkɑ,validate
ukr,327,ложка,lɔʐkɑ,validate
ukr,328,ніж,nʲiʐ,validate
ukr,329,цвях,t͡svɑx,validate
ukr,330,сіть,sʲitʲ,validate
ukr,331,крюк,krʲuk,validate
ukr,332,ручка,ruʈ͡ʂkɑ,validate
ukr,332,держак,dɛrʐɑk,validate
ukr,333,замок,zɑmɔk,validate
ukr,334,картина,kɑrtɪnɑ,validate
ukr,335,фігура,fiɦurɑ,validate
ukr,336,лялька,lʲɑlʲkɑ,validate
ukr,337,мішечок,miʂɛʈ͡ʂɔk,validate
ukr,337,торбинка,tɔrbɪnkɑ,validate
ukr,338,в’язка,wjɑzkɑ,validate
ukr,339,сумка,sumkɑ,validate
ukr,340,відро,vidrɔ,validate
ukr,341,кришка,krɪʂkɑ,validate
ukr,342,посуд,pɔsud,validate
ukr,343,мішок,miʂɔk,validate
ukr,344,чашка,ʈ͡ʂɑʂkɑ,validate
ukr,345,горщик,ɦɔrʂʈ͡ʂɪk,validate
ukr,346,котел,kɔtɛl,validate
ukr,347,їжа,jiʐɑ,validate
ukr,348,харч,xɑrʈ͡ʂ,review
ukr,349,страва,strɑwɑ,review
ukr,350,м’ясо,mjɑsɔ,validate
ukr,351,хліб,xlʲib,validate
ukr,351,збіжжя,zbiʐːɑ,validate
ukr,352,каша,kɑʂɑ,validate
ukr,353,хліб,xlʲib,validate
ukr,354,скибочка,skɪbɔʈ͡ʂkɑ,validate
ukr,355,жир,ʐɪr,validate
ukr,356,масло,mɑslɔ,validate
ukr,357,олія,ɔlʲijɑ,validate
ukr,358,сіль,sʲilʲ,validate
ukr,359,суп,sup,validate
ukr,360,мед,mɛd,validate
ukr,361,молоко,mɔlɔkɔ,validate
ukr,362,чай,ʈ͡ʂɑj,validate
ukr,363,шкіра,ʂkirɑ,validate
ukr,364,шерсть,ʂɛrstʲ,validate
ukr,365,тканина,tkɑnɪnɑ,validate
ukr,366,голка,ɦɔlkɑ,validate
ukr,367,нитка,nɪtkɑ,validate
ukr,368,ґудзик,ɡud͡zɪk,validate
ukr,369,вузол,wuzɔl,validate
ukr,370,фарба,fɑrbɑ,validate
ukr,371,одяг,ɔdʲɑɦ,validate
ukr,371,убрання,ubrɑnʲːɑ,validate
ukr,372,сорочка,sɔrɔʈ͡ʂkɑ,validate
ukr,373,комір,kɔmir,validate
ukr,374,рукав,rukɑw,validate
ukr,375,брюки,brʲukɪ,validate
ukr,376,пояс,pɔjɑs,validate
ukr,377,шапка,ʂɑpkɑ,validate
ukr,378,ботинок,bɔtɪnɔk,validate
ukr,379,чобіт,ʈ͡ʂɔbit,validate
ukr,380,кільце,kilʲt͡sɛ,validate
ukr,381,стрічка,strʲiʈ͡ʂkɑ,validate
ukr,382,гребінець,ɦrɛbinɛt͡sʲ,validate
ukr,383,дзеркало,d͡zɛrkɑlɔ,validate
ukr,384,ремінь,rɛminʲ,validate
ukr,385,вірьовка,virʲɔwkɑ,validate
ukr,386,шворка,ʂwɔrkɑ,review
ukr,387,ковдра,kɔwdrɑ,validate
ukr,388,подушка,pɔduʂkɑ,validate
ukr,389,хустка,xustkɑ,validate
ukr,390,рушник,ruʂnɪk,validate
ukr,391,сила,sɪlɑ,validate
ukr,392,сила,sɪlɑ,review
ukr,393,здоров’я,zdɔrɔwjɑ,validate
ukr,394,хвороба,xwɔrɔbɑ,validate
ukr,395,біль,bilʲ,validate
ukr,396,рана,rɑnɑ,validate
ukr,397,гарячка,ɦɑrʲɑʈ͡ʂkɑ,validate
ukr,398,ліки,lʲikɪ,validate
ukr,399,міст,mist,validate
ukr,400,колодязь,kɔlɔdʲɑzʲ,validate
ukr,401,пасовище,pɑsɔwɪʂʈ͡ʂɛ,validate
ukr,402,стежка,stɛʐkɑ,validate
ukr,403,шлях,ʂlʲɑx,validate
ukr,403,дорога,dɔrɔɦɑ,validate
ukr,404,вулиця,wulɪt͡sʲɑ,validate
ukr,405,село,sɛlɔ,validate
ukr,406,місто,mistɔ,validate
ukr,407,лист,lɪst,validate
ukr,408,книга,knɪɦɑ,validate
ukr,408,книжка,knɪʐkɑ,validate
ukr,409,буква,bukwɑ,validate
ukr,409,літера,lʲitɛrɑ,validate
ukr,410,газета,ɦɑzɛtɑ,validate
ukr,411,життя,ʐɪtʲːɑ,validate
ukr,412,смерть,smɛrtʲ,validate
ukr,413,могила,mɔɦɪlɑ,validate
ukr,414,церква,t͡sɛrkwɑ,validate
ukr,415,гріх,ɦrʲix,validate
ukr,416,бог,bɔɦ,validate
ukr,417,робітник,rɔbitnɪk,validate
