concept_id,deu,swe,distance
1, ['#', 'a', 'ʊ̯', 'ɡ', 'ə'], ['#', '*', 'øː', 'ɡ', 'a'], 0.37
2, ['#', 'oː', '*', 'ɐ̯'], ['#', 'œː', 'r', 'a'], 0.4
3, ['#', 'n', 'aː', 'z', 'ə'], ['#', 'n', 'ɛː', 's', 'a'], 0.11
4, ['#', 'm', 'ʊ', 'n', 't'], ['#', 'm', 'ɵ', 'n', '*'], 0.23
5, ['#', 't͡s', 'aː', '*', 'n'], ['#', 't', 'a', 'nː', 'd'], 0.29
6, ['#', 't͡s', 'ʊ', 'ŋ', 'ə'], ['#', 't', 'ɵ', 'ŋː', 'a'], 0.14
7, ['#', 'l', 'ɪ', 'p', 'ə'], ['#', 'l', 'ɛ', 'pː', '*'], 0.29
11, ['#', 'h', 'aː', 'ɐ̯'], ['#', 'h', 'oː', 'r'], 0.38
15, ['#', 'k', 'iː', 'f', 'ɐ'], ['#', 'ɕ', 'ɛː', 'k', 'ə'], 0.21
17, ['#', 'h', 'a', 'l', 's'], ['#', 'h', 'a', 'lː', 's'], 0.04
21, ['#', 'b', 'a', 'ʊ̯', 'χ'], ['#', 'b', '*', 'ʉː', 'k'], 0.36
22, ['#', 'n', 'aː', 'b', 'ə', 'l'], ['#', 'n', 'ɑː', 'v', 'ə', 'l'], 0.08
23, ['#', 'b', 'uː', 'z', 'ə', 'n'], ['#', 'b', 'a', 'rː', '*', 'm'], 0.38
24, ['#', 'b', 'ʁ', 'ʊ', 's', 't'], ['#', 'b', 'r', 'ø', 'sː', 't'], 0.14
25, ['#', 'ʃ', '*', 'ʊ', 'l', 't', '*', 'ɐ'], ['#', 's', 'k', 'ɵ', 'lː', 'd', 'r', 'a'], 0.35
26, ['#', 'a', 'ɐ̯', 'm'], ['#', 'a', 'rː', 'm'], 0.25
27, ['#', 'ɛ', 'l', 'ɛ', 'n', 'b', 'oː', 'ɡ', 'ə', 'n'], ['#', 'a', 'rː', '*', 'm', 'b', 'ɔ', 'ɡ', 'ə', '*'], 0.29
28, ['#', 'h', 'a', 'n', 't'], ['#', 'h', 'a', 'nː', 'd'], 0.08
29, ['#', 'h', 'a', 'n', 'd', 'f', 'l', 'ɛ', 'ç', 'ə'], ['#', 'h', 'a', 'nː', 'd', 'f', 'l', 'a', 't', 'a'], 0.09
30, ['#', 'f', 'ɪ', 'ŋ', 'ɐ', '*'], ['#', 'f', 'ɪ', 'ŋː', 'ə', 'r'], 0.21
31, ['#', 'f', 'ɪ', 'ŋ', 'ɛ', 'ɐ̯', 'n', 'aː', 'ɡ', 'ə', 'l'], ['#', 'f', 'ɪ', 'ŋː', 'ɛ', '*', 'ɳ', 'a', 'ɡ', 'ə', 'l'], 0.14
32, ['#', 'n', 'aː', 'ɡ', 'ə', 'l'], ['#', 'n', 'ɑː', 'ɡ', 'ə', 'l'], 0.03
33, ['#', 't͡s', 'eː'], ['#', 't', 'oː'], 0.14
34, ['#', 'f', 'uː', 's'], ['#', 'f', 'uː', 't'], 0.05
36, ['#', 'k', 'n', 'iː'], ['#', 'k', 'n', 'ɛː'], 0.04
38, ['#', 'b', 'a', 'ɪ̯', 'n'], ['#', 'b', 'eː', '*', 'n'], 0.27
