concept_id,deu,swe,distance
8, ['#', 'v', 'a', 'ŋ', 'ə'], ['#', 'ɕ', 'ɪ', 'nː', 'd'], 0.41
9, ['#', 'ɡ', 'ə', 'z', 'ɪ', 'ç', 't'], ['#', '*', '*', 's', '*', 'yː', 'n'], 0.66
9, ['#', 'ɡ', 'ə', '*', 'z', 'ɪ', 'ç', 't', '*'], ['#', '*', 'a', 'nː', 's', 'ɪ', 'k', 't', 'ə'], 0.42
10, ['#', 'ʃ', 't', 'ɪ', 'ɐ̯', 'n', '*'], ['#', '*', 'p', 'a', '*', 'nː', 'a'], 0.52
12, ['#', 'ʃ', 'n', 'ʊ', 'ɐ̯', 'b', 'a', 'ɐ̯', 't'], ['#', '*', 'm', 'ɵ', 'sː', 't', 'a', '*', 'ɧ'], 0.44
13, ['#', 'b', 'a', 'ɐ̯', 't'], ['#', 'ɧ', 'ɛ', '*', 'ɡː'], 0.46
14, ['#', '*', '*', 'k', 'ɪ', 'n'], ['#', 'h', 'ɑː', 'k', 'a', '*'], 0.54
16, ['#', '*', 'k', '*', 'eː', 'l', 'ə'], ['#', 's', 't', 'r', 'ʉː', 'p', 'ə'], 0.45
18, ['#', 'ɡ', 'eː', 'n', 'ɪ', 'k'], ['#', 'n', 'a', 'kː', 'ə', '*'], 0.45
19, ['#', 'k', 'ɔ', 'p͡f', '*', '*'], ['#', 'h', 'ʉː', 'v', 'ɵ', 'd'], 0.54
20, ['#', 'ʁ', 'ʏ', 'k', 'ə', 'n'], ['#', 'r', 'ʏ', 'ɡː', '*', '*'], 0.47
21, ['#', 'b', 'a', 'ʊ̯', 'χ'], ['#', 'm', 'ɑː', 'ɡ', 'ə'], 0.51
35, ['#', 'f', 'ɛ', 'ɐ̯', 'z', 'ə'], ['#', 'h', 'ɛː', '*', 'l', '*'], 0.43
37, ['#', 'oː', 'b', 'ɛ', 'ɐ̯', 'ʃ', 'ɛ', 'ŋ', 'k', 'ə', 'l'], ['#', '*', '*', '*', '*', '*', '*', 'l', '*', 'oː', 'r'], 0.74
39, ['#', 'k', '*', 'œ', 'ɐ̯', 'p', 'ɐ'], ['#', 'k', 'r', 'ɔ', '*', 'pː', '*'], 0.48
40, ['#', 'h', 'a', 'ʊ̯', 't'], ['#', 'ɧ', 'ɪ', '*', 'nː'], 0.41
44, ['#', 'k', 'n', 'ɔ', 'χ', 'ə', 'n'], ['#', '*', 'b', '*', '*', 'eː', 'n'], 0.53
