lang_iso_code,concept_id,ortho_form,raw_ipa,next_step
swe,154,anka,anːka,validate
swe,155,uggla,ɵɡːla,validate
swe,156,trana,trɑːna,validate
swe,157,kråka,kroːka,validate
swe,158,gök,jøːk,validate
swe,159,svan,svɑːn,validate
swe,160,fisk,fɪsːk,validate
swe,161,abborre,abːɔrə,validate
swe,162,gädda,jɛdːa,validate
swe,163,orm,ɔrːm,validate
swe,164,mask,masːk,validate
swe,165,spindel,spɪnːdəl,validate
swe,166,myra,myːra,validate
swe,167,lus,lʉːs,validate
swe,168,mygga,mʏɡːa,validate
swe,169,fluga,flʉːɡa,validate
swe,170,fjäril,fjæːrɪl,validate
swe,171,bär,bæːr,validate
swe,172,äpple,ɛpːlə,validate
swe,173,svamp,svamːp,validate
swe,174,lök,løːk,validate
swe,175,sådd,sɔdː,validate
swe,176,korn,kuːɳ,validate
swe,177,hö,høː,validate
swe,178,skal,skɑːl,validate
swe,179,grop,ɡruːp,validate
swe,180,fälla,fɛlːa,validate
swe,181,snara,snɑːra,validate
swe,182,spår,spoːr,validate
swe,183,aska,asːka,validate
swe,184,lort,luːʈ,validate
swe,185,järn,jæːɳ,validate
swe,186,guld,ɡɵlːd,validate
swe,187,silver,sɪlːvər,validate
swe,188,kol,kuːl,validate
swe,189,glas,ɡlɑːs,validate
swe,190,lera,leːra,validate
swe,191,sand,sanːd,validate
swe,192,människa,mɛnːɪska,validate
swe,193,man,manː,validate
swe,194,kvinna,kvɪnːa,validate
swe,195,barn,bɑːɳ,validate
swe,196,pojke,pɔjːkə,validate
swe,197,flicka,flɪkːa,validate
swe,198,familj,famːɪlj,validate
swe,199,morfar,mɔrːfar,validate
swe,200,farmor,farːmɔr,validate
swe,201,föräldrar,fœːrɛldrar,validate
swe,202,far,fɑːr,validate
swe,203,mor,muːr,validate
swe,204,son,suːn,validate
swe,205,dotter,dɔtːər,validate
swe,206,bror,bruːr,validate
swe,207,syster,sʏsːtər,validate
swe,208,morbror,mɔrːbrɔr,validate
swe,209,tant,tanːt,validate
swe,210,äkta man,ɛkːta mɑːn,validate
swe,211,hustru,hɵsːtrɵ,validate
swe,212,fröjd,frøjːd,validate
swe,212,glädje,ɡlɛdːjə,validate
swe,213,åtlöje,oːtløjə,validate
swe,214,lycka,lʏkːa,validate
swe,215,sorg,sɔrːɡ,validate
swe,216,önskan,ønːskan,validate
swe,217,lust,lɵsːt,validate
swe,218,ande,anːdə,validate
swe,219,tanke,tanːkə,validate
swe,220,minne,mɪnːə,validate
swe,221,förstånd,fœrːstɔnd,validate
swe,222,mening,meːnɪŋ,validate
swe,222,betydelse,bətyːdɛlsə,validate
swe,223,skäl,ɧɛːl,validate
swe,223,grund,ɡrɵnːd,validate
swe,224,sanning,sanːɪŋ,validate
swe,225,samtal,samːtal,validate
swe,226,saga,sɑːɡa,validate
swe,227,berättelse,bərɛtːɛlsə,validate
swe,228,meddelande,mɛdːɛlandə,validate
swe,229,nyhet,nyːhət,validate
swe,230,namn,namːn,validate
swe,231,gåta,ɡoːta,validate
swe,232,tal,tɑːl,validate
swe,233,språk,sproːk,validate
swe,234,stämma,stɛmːa,validate
swe,235,ord,uːɖ,validate
swe,236,tecken,tɛkːən,validate
swe,237,rop,ruːp,validate
swe,238,bråk,broːk,validate
swe,238,oväsen,uːvɛsən,validate
swe,239,ljud,jʉːd,validate
swe,240,ton,tuːn,validate
swe,241,sång,sɔŋː,validate
swe,242,ro,ruː,validate
swe,242,lugn,lɵŋːn,validate
swe,243,folk,fɔlːk,validate
swe,244,folk,fɔlːk,validate
swe,245,arbete,arːbɛtə,validate
swe,246,gäst,jɛsːt,validate
swe,247,gåva,ɡoːva,validate
swe,247,present,preːsɛnt,validate
swe,248,lek,leːk,validate
swe,248,spel,speːl,validate
swe,249,sällskap,sɛlːskap,validate
swe,250,hjälp,jɛlːp,validate
swe,251,vän,vɛnː,validate
swe,252,kamrat,kamːrat,validate
swe,253,ärende,æːrɛndə,validate
swe,253,angelägenhet,aŋːɛlɛjɛnhət,validate
swe,254,antal,anːtal,validate
swe,255,art,ɑːʈ,validate
swe,255,slag,slɑːɡ,validate
swe,256,stycke,stʏkːə,validate
swe,257,del,deːl,validate
swe,258,halva,halːva,validate
swe,259,krets,krɛtːs,validate
swe,259,cirkel,sɪrːkəl,validate
swe,260,kors,kɔrːs,validate
swe,260,kryss,krʏsː,validate
swe,261,linje,lɪnːjə,validate
swe,262,streck,strɛkː,validate
swe,263,avstånd,avːstɔnd,validate
swe,264,avstånd,avːstɔnd,validate
swe,265,trakt,trakːt,validate
swe,266,plats,platːs,validate
swe,267,plats,platːs,validate
swe,267,ställe,stɛlːə,validate
swe,268,sida,siːda,validate
swe,269,mitt,mɪtː,validate
swe,270,föremål,fœːrɛmɔl,validate
swe,271,sak,sɑːk,validate
swe,272,rand,ranːd,validate
swe,273,kant,kanːt,validate
swe,274,vrå,vroː,validate
swe,274,hörn,hœːɳ,validate
swe,275,spets,spɛtːs,validate
swe,276,ända,ɛnːda,validate
swe,277,hål,hoːl,validate
swe,278,vinkel,vɪnːkəl,validate
swe,279,mönster,mønːstər,validate
swe,280,storlek,stuːɭɛk,validate
swe,281,längd,lɛŋːd,validate
swe,282,höjd,højːd,validate
swe,283,tyngd,tʏŋːd,validate
swe,284,mängd,mɛŋːd,validate
swe,285,hög,høːɡ,validate
swe,286,rad,rɑːd,validate
swe,287,båt,boːt,validate
swe,288,åra,oːra,validate
swe,289,släde,slɛːdə,validate
swe,290,skida,ɧiːda,validate
swe,291,lägereld,lɛːjɛrɛld,validate
swe,292,last,lasːt,validate
swe,292,börda,bœːɖa,validate
swe,293,gång,ɡɔŋː,validate
swe,294,steg,steːɡ,validate
swe,295,norr,nɔrː,validate
swe,296,söder,søːdər,validate
swe,297,väster,vɛsːtər,validate
swe,298,öster,øsːtər,validate
swe,299,trä,trɛː,validate
swe,300,bräda,brɛːda,validate
swe,301,platta,platːa,validate
swe,302,stöd,støːd,validate
swe,302,stötta,støtːa,validate
swe,303,stång,stɔŋː,validate
swe,304,käpp,ɕɛpː,validate
swe,304,pinne,pɪnːə,validate
swe,305,stav,stɑːv,validate
swe,306,rör,rœːr,validate
swe,307,hus,hʉːs,validate
swe,308,hem,hɛmː,validate
swe,309,ugn,ɵŋːn,validate
swe,310,golv,ɡɔlːv,validate
swe,311,bord,buːɖ,validate
swe,312,stol,stuːl,validate
swe,313,vagga,vaɡːa,validate
swe,314,säng,sɛŋː,validate
swe,315,hylla,hʏlːa,validate
swe,316,låda,loːda,validate
swe,317,fönster,fønːstər,validate
swe,318,dörr,dœrː,validate
swe,319,port,puːʈ,validate
swe,320,staket,stɑːkət,validate
